Frame;Timestamp;Real Hand Position;Real Hand Rotation;Virtual Hand Position;Virtual Hand Rotation;Target;Redirection Technique;Target Real Position;Target Real Rotation;Target Virtual Position;Target Virtual Rotation;Body Position;Body Rotation;
10;25.02.2024 18:22:35 607;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.42878, -0.12681, 0.41798, 0.79080);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
11;25.02.2024 18:22:35 621;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.42899, -0.12724, 0.41787, 0.79067);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
12;25.02.2024 18:22:35 982;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.22, 1.15, 0.21);(0.31484, -0.61400, -0.21676, 0.69058);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
13;25.02.2024 18:22:35 990;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.13, 0.82, 0.35);(-0.44322, -0.17922, 0.45260, 0.75272);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
14;25.02.2024 18:22:35 995;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.13, 0.82, 0.35);(-0.45022, -0.17764, 0.44625, 0.75273);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
15;25.02.2024 18:22:36 9;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.13, 0.82, 0.35);(-0.45278, -0.17639, 0.44414, 0.75273);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
16;25.02.2024 18:22:36 19;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.13, 0.82, 0.35);(-0.45341, -0.17627, 0.44364, 0.75269);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
17;25.02.2024 18:22:36 42;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.13, 0.82, 0.35);(-0.45176, -0.17843, 0.44156, 0.75439);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
18;25.02.2024 18:22:36 46;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.13, 0.82, 0.35);(-0.44819, -0.18194, 0.43884, 0.75726);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
19;25.02.2024 18:22:36 59;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
20;25.02.2024 18:22:36 73;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.13, 0.82, 0.35);(-0.44538, -0.18402, 0.43749, 0.75919);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
21;25.02.2024 18:22:36 110;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.11, 0.84, 0.31);(-0.42537, -0.21672, 0.40478, 0.77990);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
22;25.02.2024 18:22:36 227;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.14, 0.92, 0.26);(-0.22116, -0.39769, 0.16567, 0.87492);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
23;25.02.2024 18:22:36 231;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.13, 0.82, 0.35);(-0.45000, -0.17801, 0.44708, 0.75228);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
24;25.02.2024 18:22:36 234;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
25;25.02.2024 18:22:36 248;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.13, 0.82, 0.35);(-0.45714, -0.17498, 0.44149, 0.75199);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
26;25.02.2024 18:22:36 262;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.13, 0.82, 0.35);(-0.45674, -0.17425, 0.44162, 0.75233);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
27;25.02.2024 18:22:36 276;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.13, 0.82, 0.35);(-0.45526, -0.17459, 0.44271, 0.75251);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
28;25.02.2024 18:22:36 290;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.13, 0.82, 0.35);(-0.45409, -0.17496, 0.44357, 0.75262);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
29;25.02.2024 18:22:36 304;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.13, 0.82, 0.35);(-0.45332, -0.17527, 0.44411, 0.75269);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
30;25.02.2024 18:22:36 317;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.13, 0.82, 0.35);(-0.45290, -0.17551, 0.44439, 0.75273);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
31;25.02.2024 18:22:36 331;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.13, 0.82, 0.35);(-0.45273, -0.17571, 0.44445, 0.75274);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
32;25.02.2024 18:22:36 345;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.13, 0.82, 0.35);(-0.45272, -0.17591, 0.44440, 0.75274);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
33;25.02.2024 18:22:36 359;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.13, 0.82, 0.35);(-0.45274, -0.17615, 0.44431, 0.75272);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
34;25.02.2024 18:22:36 387;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.13, 0.82, 0.35);(-0.45266, -0.17647, 0.44428, 0.75271);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
35;25.02.2024 18:22:36 391;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.13, 0.82, 0.35);(-0.45296, -0.17654, 0.44402, 0.75267);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
36;25.02.2024 18:22:36 401;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.13, 0.82, 0.35);(-0.45331, -0.17653, 0.44374, 0.75262);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
37;25.02.2024 18:22:36 415;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.13, 0.82, 0.35);(-0.45210, -0.17822, 0.44208, 0.75393);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
38;25.02.2024 18:22:36 428;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.13, 0.82, 0.35);(-0.44879, -0.18181, 0.43879, 0.75697);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
39;25.02.2024 18:22:36 442;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.13, 0.82, 0.35);(-0.44572, -0.18449, 0.43648, 0.75946);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
40;25.02.2024 18:22:36 456;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.13, 0.82, 0.35);(-0.44352, -0.18628, 0.43379, 0.76185);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
41;25.02.2024 18:22:36 472;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.44288, -0.18670, 0.43112, 0.76363);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
42;25.02.2024 18:22:36 485;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.44284, -0.18671, 0.42884, 0.76494);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
43;25.02.2024 18:22:36 500;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.44290, -0.18663, 0.42714, 0.76587);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
44;25.02.2024 18:22:36 517;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.44293, -0.18657, 0.42595, 0.76653);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
45;25.02.2024 18:22:36 527;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.44293, -0.18654, 0.42513, 0.76700);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
46;25.02.2024 18:22:36 541;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.44289, -0.18652, 0.42454, 0.76735);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
47;25.02.2024 18:22:36 560;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.44283, -0.18652, 0.42410, 0.76763);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
48;25.02.2024 18:22:36 568;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.44277, -0.18653, 0.42375, 0.76785);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
49;25.02.2024 18:22:36 582;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.44270, -0.18654, 0.42347, 0.76804);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
50;25.02.2024 18:22:36 596;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.44263, -0.18656, 0.42323, 0.76821);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
51;25.02.2024 18:22:36 611;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.44256, -0.18658, 0.42303, 0.76836);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
52;25.02.2024 18:22:36 624;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.44248, -0.18660, 0.42285, 0.76850);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
53;25.02.2024 18:22:36 638;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.44240, -0.18663, 0.42270, 0.76862);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
54;25.02.2024 18:22:36 652;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.44233, -0.18665, 0.42255, 0.76874);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
55;25.02.2024 18:22:36 678;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.44224, -0.18668, 0.42242, 0.76885);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
56;25.02.2024 18:22:36 688;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.84, 0.33);(-0.43278, -0.19252, 0.41066, 0.77910);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
57;25.02.2024 18:22:36 693;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
58;25.02.2024 18:22:36 707;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.44209, -0.18674, 0.42220, 0.76905);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
59;25.02.2024 18:22:36 721;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.44199, -0.18678, 0.42208, 0.76916);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
60;25.02.2024 18:22:36 737;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.44189, -0.18681, 0.42198, 0.76926);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
61;25.02.2024 18:22:36 749;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.44180, -0.18685, 0.42188, 0.76936);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
62;25.02.2024 18:22:36 762;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.44169, -0.18690, 0.42178, 0.76947);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
63;25.02.2024 18:22:36 780;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.44158, -0.18694, 0.42168, 0.76957);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
64;25.02.2024 18:22:36 790;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.44146, -0.18699, 0.42159, 0.76968);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
65;25.02.2024 18:22:36 804;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.44132, -0.18705, 0.42150, 0.76980);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
66;25.02.2024 18:22:36 818;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.44118, -0.18711, 0.42140, 0.76992);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
67;25.02.2024 18:22:36 832;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.44103, -0.18717, 0.42130, 0.77005);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
68;25.02.2024 18:22:36 845;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.44085, -0.18725, 0.42119, 0.77019);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
69;25.02.2024 18:22:36 861;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.44063, -0.18734, 0.42108, 0.77035);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
70;25.02.2024 18:22:36 874;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.44036, -0.18745, 0.42097, 0.77053);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
71;25.02.2024 18:22:36 887;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.44004, -0.18759, 0.42086, 0.77075);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
72;25.02.2024 18:22:36 903;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.43963, -0.18777, 0.42076, 0.77099);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
73;25.02.2024 18:22:36 915;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.43910, -0.18800, 0.42067, 0.77128);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
74;25.02.2024 18:22:36 929;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.43843, -0.18831, 0.42061, 0.77163);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
75;25.02.2024 18:22:36 955;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.43753, -0.18871, 0.42060, 0.77204);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
76;25.02.2024 18:22:36 961;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45105, 0.11682, 0.45166, 0.76087);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
77;25.02.2024 18:22:36 971;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45781, 0.12182, 0.44672, 0.75896);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
78;25.02.2024 18:22:36 985;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45918, 0.12227, 0.44564, 0.75869);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
79;25.02.2024 18:22:36 998;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45944, 0.12235, 0.44544, 0.75864);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
80;25.02.2024 18:22:37 15;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45949, 0.12236, 0.44540, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
81;25.02.2024 18:22:37 34;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.08, 0.83, 0.32);(-0.45034, 0.16054, 0.43213, 0.76465);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
82;25.02.2024 18:22:37 45;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
83;25.02.2024 18:22:37 57;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45949, 0.12236, 0.44540, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
84;25.02.2024 18:22:37 69;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
85;25.02.2024 18:22:37 83;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
86;25.02.2024 18:22:37 96;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
87;25.02.2024 18:22:37 110;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
88;25.02.2024 18:22:37 124;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
89;25.02.2024 18:22:37 138;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
90;25.02.2024 18:22:37 152;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
