Frame;Timestamp;Real Hand Position;Real Hand Rotation;Virtual Hand Position;Virtual Hand Rotation;Target;Redirection Technique;Target Real Position;Target Real Rotation;Target Virtual Position;Target Virtual Rotation;Body Position;Body Rotation;
0;25.02.2024 18:22:34 931;(-0.07, 0.88, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);(-0.05, 0.89, -0.07);(0.07782, -0.06165, -0.23683, 0.96646);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
1;25.02.2024 18:22:34 948;(0.00, 0.00, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.01, 0.03, 0.00);(0.07841, -0.05465, -0.23827, 0.96648);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
2;25.02.2024 18:22:35 508;(0.00, 0.00, 0.00);(0.00000, 0.00000, 0.00000, 1.00000);(0.33, 0.08, -0.04);(0.12156, -0.59001, -0.76840, 0.21603);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
3;25.02.2024 18:22:35 528;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.11, 0.84, 0.34);(-0.47973, -0.05410, 0.36334, 0.79682);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
4;25.02.2024 18:22:35 536;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
5;25.02.2024 18:22:35 542;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.44039, -0.11470, 0.40879, 0.79107);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
6;25.02.2024 18:22:35 551;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.43814, -0.11769, 0.41058, 0.79095);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
7;25.02.2024 18:22:35 570;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.82, 0.35);(-0.43648, -0.11854, 0.41195, 0.79103);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
8;25.02.2024 18:22:35 593;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.11, 0.83, 0.33);(-0.40705, -0.11962, 0.34832, 0.83587);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
9;25.02.2024 18:22:35 596;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
