-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-7,999685, -7,999685
-7,935092, -7,935092
-7,842828, -7,842828
-7,742121, -7,742121
-7,706161, -7,706161
-7,706161, -7,706161
-7,706161, -7,706161
-7,64795, -7,764367
-7,559858, -7,852468
-7,469346, -7,942988
-7,457824, -7,95451
-7,47555, -7,936779
-7,56418, -7,835404
-7,587672, -7,643408
-7,587672, -7,458583
-7,563778, -7,272007
-7,505991, -7,203671
-7,461005, -7,158689
-7,357738, -7,055414
-7,25211, -6,949785
-7,16002, -6,857692
-7,057458, -6,755126
-6,950342, -6,648006
-6,85054, -6,56586
-6,667561, -6,544362
-6,456713, -6,544366
-6,271037, -6,544373
-6,064235, -6,54439
-5,854221, -6,544415
-5,668305, -6,544439
-5,483102, -6,565883
-5,369416, -6,667352
-5,278164, -6,758633
-5,17669, -6,860139
-5,07169, -6,965171
-4,979736, -7,05716
-4,874905, -7,162037
-4,763698, -7,273295
-4,671954, -7,365088
-4,570985, -7,46611
-4,463728, -7,573427
-4,373312, -7,663895
-4,270302, -7,766969
-4,161028, -7,876313
-4,072575, -7,964823
-3,970496, -8,066972
-3,863518, -8,174017
-3,774439, -8,263159
-3,67168, -8,365993
-3,565726, -8,472025
-3,471949, -8,565869
-3,367853, -8,670047
-3,259937, -8,778049
-3,166818, -8,871248
-3,065975, -8,972179
-2,958717, -9,079523
-2,865263, -9,173054
-2,76479, -9,273619
-2,65385, -9,384665
-2,5601, -9,478497
-2,460575, -9,578105
-2,352961, -9,685818
-2,261164, -9,777698
-2,16236, -9,876596
-2,053659, -9,985404
-1,960994, -10,07816
-1,860533, -10,17872
-1,754252, -10,28511
-1,662618, -10,37683
-1,562223, -10,47732
-1,453725, -10,58593
-1,311131, -10,63149
-1,111236, -10,63163
-0,8824545, -10,63179
-0,6797771, -10,63192
-0,4960729, -10,63204
-0,2744507, -10,6322
-0,06952398, -10,63234
0,1176487, -10,63249
0,3346511, -10,63265
0,5458043, -10,63283
0,7222124, -10,63301
0,9332293, -10,63318
1,142097, -10,63335
1,324641, -10,63348
1,536036, -10,63364
1,75292, -10,63381
1,940729, -10,63395
2,152683, -10,63412
2,368987, -10,6343
2,543536, -10,63444
2,750205, -10,63462
2,966806, -10,63482
3,151554, -10,63498
3,362556, -10,63516
3,575968, -10,63534
3,757698, -10,63549
3,973755, -10,63568
4,1789, -10,63586
4,355392, -10,63601
4,566769, -10,63621
4,779943, -10,6364
4,968575, -10,63657
5,174643, -10,63676
5,382443, -10,63696
5,577148, -10,63715
5,787437, -10,63738
6,002987, -10,63759
6,187081, -10,63777
6,393435, -10,63796
6,611639, -10,63819
6,793967, -10,63838
7,001158, -10,6386
7,214217, -10,63881
7,397736, -10,639
7,600734, -10,63922
7,828823, -10,63948
8,00079, -10,63968
8,211206, -10,63992
8,420923, -10,64015
8,602853, -10,64036
8,806861, -10,64059
9,023255, -10,64083
9,200953, -10,64104
9,407063, -10,64129
9,625703, -10,64155
9,80901, -10,64179
10,01392, -10,64205
10,23043, -10,6423
10,42288, -10,64253
10,62457, -10,6428
10,85833, -10,64312
11,06612, -10,64339
11,25018, -10,64363
11,45564, -10,64391
11,66838, -10,64418
11,8551, -10,64442
12,06625, -10,6447
12,27443, -10,64496
12,45544, -10,63773
12,58026, -10,55287
12,68641, -10,4469
12,78028, -10,35319
12,88687, -10,24679
12,99244, -10,14139
13,08527, -10,04872
13,19551, -9,951717
13,36076, -9,957391
13,46034, -10,04827
13,56302, -10,15112
13,6702, -10,25848
13,75993, -10,34837
13,86447, -10,4531
13,97339, -10,56222
14,06256, -10,65156
14,16544, -10,75464
14,28701, -10,85672
14,45476, -10,86916
14,65905, -10,86942
14,87478, -10,86969
15,06287, -10,86994
15,25981, -10,8702
15,47605, -10,87049
15,66012, -10,87074
15,86532, -10,87105
16,09176, -10,87136
16,30263, -10,87166
16,49177, -10,87192
16,70961, -10,87224
16,92023, -10,87253
17,10509, -10,87279
17,32042, -10,8731
17,52817, -10,8734
17,70964, -10,87367
17,92121, -10,87398
18,13502, -10,87428
18,31527, -10,87454
18,53644, -10,87488
18,7055, -10,83175
18,79642, -10,74323
18,90198, -10,63788
19,00803, -10,53203
19,10244, -10,4378
19,20557, -10,33488
19,31133, -10,22932
19,40234, -10,13848
19,50507, -10,03643
19,68076, -9,99039
19,87022, -9,99068
20,07642, -9,991009
20,28757, -9,991311
20,47271, -9,991562
20,68063, -9,991861
20,89389, -9,992153
21,0865, -9,992436
21,29061, -9,992746
21,50781, -9,993047
21,69424, -9,99332
21,89775, -9,993614
22,11152, -9,993939
22,30475, -9,99425
22,50965, -9,994576
22,74127, -9,994918
22,94811, -9,995207
23,1309, -9,99329
23,27283, -9,919416
23,37765, -9,81482
23,47231, -9,720349
23,62016, -9,651821
23,82814, -9,65118
24,01229, -9,651439
24,18707, -9,617563
24,29296, -9,515386
24,38476, -9,423778
24,49004, -9,318709
24,5963, -9,212646
24,69061, -9,118518
24,79504, -9,0143
24,90187, -8,907698
24,99506, -8,814692
25,10118, -8,708782
25,20281, -8,607339
25,29441, -8,515913
25,39781, -8,41271
25,50413, -8,306593
25,59363, -8,21726
25,69757, -8,113543
25,74546, -7,953344
25,73762, -7,775761
25,65289, -7,649744
25,54947, -7,546153
25,45756, -7,454092
25,36257, -7,358934
25,32672, -7,323029
25,32672, -7,323029
25,32672, -7,323028
25,32672, -7,323028
25,32672, -7,323029
25,32672, -7,323028
25,32672, -7,323029
25,32672, -7,323028
25,32671, -7,323027
25,32672, -7,323029
25,32672, -7,323028
25,32672, -7,323028
25,32672, -7,323029
25,32672, -7,323031
25,32672, -7,32303
25,32672, -7,323029
25,32672, -7,323031
25,32672, -7,32303
25,32672, -7,323029
25,32672, -7,32303
25,32672, -7,323029
25,32672, -7,323029
25,32672, -7,323029
25,32672, -7,32303
25,32672, -7,323029
25,34796, -7,301587
25,44192, -7,206696
25,54488, -7,102644
25,60329, -7,043634
25,60391, -7,043015
25,60392, -7,043015
25,60392, -7,043015
25,60392, -7,043015
25,60392, -7,043015
25,60392, -7,043015
25,60392, -7,043015
25,60392, -7,043015
25,60392, -7,043007
25,60392, -7,043006
25,60392, -7,043006
25,60391, -7,043006
25,60392, -7,043006
25,60392, -7,043005
25,60391, -7,043006
25,60392, -7,043008
25,60392, -7,043006
25,60391, -7,043007
25,60616, -7,045167
25,67596, -7,111103
25,78541, -7,214315
25,83658, -7,262598
25,85227, -7,277382
25,95108, -7,370535
26,04561, -7,459689
26,205, -7,506093
26,34929, -7,533952
26,35656, -7,54035
