-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-7,990406, -7,990406
-7,912465, -7,912465
-7,813355, -7,813355
-7,789836, -7,789836
-7,789836, -7,789836
-7,784513, -7,795157
-7,674933, -7,852123
-7,497245, -7,85666
-7,321055, -7,826643
-7,213236, -7,724401
-7,122731, -7,633908
-7,017487, -7,528675
-6,913339, -7,424531
-6,820931, -7,332134
-6,716531, -7,227741
-6,613472, -7,124688
-6,582214, -7,09343
-6,582214, -7,09343
-6,582214, -7,09343
-6,582214, -7,09343
-6,582214, -7,09343
-6,582214, -7,09343
