-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-8, -8
-7,990406, -7,990406
-7,912465, -7,912465
-7,813355, -7,813355
-7,789836, -7,789836
-7,789836, -7,789836
-7,784514, -7,795157
-7,674934, -7,852112
-7,497247, -7,856568
-7,321123, -7,826314
-7,213597, -7,723773
-7,123456, -7,632917
-7,018742, -7,527156
-6,915241, -7,422369
-6,823514, -7,329298
-6,719983, -7,224041
-6,617897, -7,120025
-6,586949, -7,088457
-6,586949, -7,088457
-6,586949, -7,088457
-6,58695, -7,088457
-6,586949, -7,088457
-6,58695, -7,088457
